step,method,microbatch_mean_loss,valid_tokens,grad_norm,probe_loss
32,token_weighted,2.1887524724006653,20,2.202467831783377,1.6522564888000488
33,mean_of_means,2.4684542417526245,20,2.601446260235231,1.9728490114212036
33,token_weighted,1.9862890839576721,20,2.088681184429407,1.7966715097427368
34,mean_of_means,2.5459457635879517,20,2.6535439048253675,1.7863683700561523
34,token_weighted,2.361881732940674,20,2.080140435280066,1.8673385381698608
35,mean_of_means,2.692539095878601,20,2.6345308588968703,1.9841622114181519
35,token_weighted,2.3359166383743286,20,2.07296921270468,2.080019950866699
36,mean_of_means,2.488159656524658,20,2.5826264894067403,2.0312340259552
36,token_weighted,2.059377670288086,20,2.0206583015081057,2.1114301681518555
37,mean_of_means,2.4250704050064087,20,2.1778845287045603,2.1383543014526367
37,token_weighted,2.2717579007148743,20,2.1698190709558456,2.2671656608581543
38,mean_of_means,2.6774297952651978,20,2.400501786725389,2.256760835647583
38,token_weighted,2.214714765548706,20,1.937790823859315,2.1867787837982178
39,mean_of_means,2.506416440010071,20,2.2550208264194427,2.2585465908050537
39,token_weighted,2.054887354373932,20,2.0861819049361827,2.2483890056610107
40,mean_of_means,2.511443018913269,20,2.240711603983752,2.268975019454956
40,token_weighted,2.528730630874634,20,1.9643745214460209,2.2087841033935547
41,mean_of_means,2.611139178276062,20,2.537395629039651,2.4376683235168457
41,token_weighted,2.4298110008239746,20,2.3570886600788112,2.49843430519104
42,mean_of_means,2.5056612491607666,20,2.8101640886560535,2.3652660846710205
42,token_weighted,2.428067922592163,20,2.3761436830733387,2.113532543182373
43,mean_of_means,2.989547610282898,20,2.7479227900280563,2.108198404312134
43,token_weighted,2.44687283039093,20,2.1146512325436544,1.8402504920959473
44,mean_of_means,1.7773299813270569,20,1.7285912038051798,2.1544997692108154
44,token_weighted,1.9931668043136597,20,1.9038292449887522,1.8207011222839355
45,mean_of_means,1.703090250492096,20,1.842582289404522,2.2716217041015625
45,token_weighted,2.104252338409424,20,2.0878275387613083,1.989442229270935
46,mean_of_means,1.3166644871234894,20,1.5375222558316637,2.2900047302246094
46,token_weighted,1.6112657189369202,20,1.767795821848381,2.0595860481262207
47,mean_of_means,1.7660114765167236,20,1.9950987601852963,2.3769562244415283
47,token_weighted,1.9854353666305542,20,1.9588256252198497,2.189284324645996
48,mean_of_means,1.917550504207611,20,2.426450454961376,2.466128349304199
48,token_weighted,2.0115790963172913,20,1.948096596833824,2.2497398853302
49,mean_of_means,2.283285975456238,20,2.6097796141235676,2.3707830905914307
49,token_weighted,2.00063693523407,20,1.96468927348402,2.286316156387329
50,mean_of_means,2.5605841875076294,20,2.5941441428626724,2.4340524673461914
50,token_weighted,2.628189444541931,20,2.135534589994917,2.311706304550171
51,mean_of_means,1.596679151058197,20,1.9331838416835792,2.441413164138794
51,token_weighted,1.870836615562439,20,2.0018439698118167,2.2897307872772217
52,mean_of_means,2.4653289318084717,20,2.474445133384793,2.4776034355163574
52,token_weighted,2.325032591819763,20,2.285510274141185,2.3887531757354736
53,mean_of_means,3.2791402339935303,20,3.274019441395659,2.560421943664551
53,token_weighted,2.9278451204299927,20,2.6005829822002067,2.468618392944336
54,mean_of_means,2.901952028274536,20,2.5931916923801634,2.402968168258667
54,token_weighted,2.5037647485733032,20,2.642356593289859,2.201585054397583
55,mean_of_means,2.4981411695480347,20,2.383518135227398,1.8995212316513062
55,token_weighted,1.995435118675232,20,2.3261971852165133,1.7055667638778687
56,mean_of_means,2.1287299394607544,20,2.304099897284972,1.8366440534591675
56,token_weighted,1.577935516834259,20,1.7870094738785178,1.8168187141418457
57,mean_of_means,2.4688761830329895,20,2.6600689705196365,1.8430510759353638
57,token_weighted,1.7963128685951233,20,1.8166098452203538,1.6855759620666504
58,mean_of_means,2.2099921107292175,20,2.414167003656408,1.61152184009552
58,token_weighted,2.32192325592041,20,1.9856023280753075,1.4415632486343384
59,mean_of_means,2.6262987852096558,20,2.9570767135066824,1.5917787551879883
59,token_weighted,2.4236122369766235,20,2.3931612390701407,1.4435330629348755
60,mean_of_means,2.241528809070587,20,2.600248440458188,1.8122597932815552
60,token_weighted,2.3366870284080505,20,2.174699499164827,1.629683017730713
61,mean_of_means,2.3466495275497437,20,2.5372663439318273,1.8369852304458618
61,token_weighted,2.018640875816345,20,2.2185751842331416,1.7512437105178833
62,mean_of_means,2.3086808919906616,20,2.290249770603325,1.8741568326950073
62,token_weighted,1.92300283908844,20,2.0814159184182026,1.9340726137161255
63,mean_of_means,2.094899535179138,20,2.100042612572437,1.9665145874023438
63,token_weighted,1.9647809267044067,20,1.852710338850718,1.991415023803711
64,mean_of_means,2.3947688341140747,20,2.881269079792512,2.1670613288879395
64,token_weighted,1.8891513347625732,20,2.159519193423906,2.0911805629730225
65,mean_of_means,2.723402500152588,20,2.818857556158351,1.9919066429138184
65,token_weighted,2.321940302848816,20,2.260820169782602,2.0572738647460938
66,mean_of_means,2.42826247215271,20,2.1472608417550005,2.0369372367858887
66,token_weighted,2.115822434425354,20,2.07317729564046,2.0829849243164062
67,mean_of_means,2.243692636489868,20,2.4633953947653415,2.4282805919647217
67,token_weighted,1.8499849438667297,20,2.0828877972839352,2.222454309463501
68,mean_of_means,2.6693228483200073,20,2.315660927871823,2.3283984661102295
68,token_weighted,2.458605408668518,20,2.0083061181120865,2.2690072059631348
69,mean_of_means,2.463985323905945,20,2.437313899720281,2.03849458694458
69,token_weighted,2.090724229812622,20,2.234063755795559,1.9571171998977661
70,mean_of_means,1.7362681031227112,20,1.7836958596724546,1.8677572011947632
70,token_weighted,1.5568778812885284,20,2.000965355893622,1.6928600072860718
71,mean_of_means,2.6030396223068237,20,2.90526877695399,1.869984745979309
71,token_weighted,2.301110029220581,20,2.3168495720037514,1.6634650230407715
72,mean_of_means,2.6665661334991455,20,2.3507719037175865,1.9850934743881226
72,token_weighted,2.391702890396118,20,2.0683559728608865,1.7707170248031616
73,mean_of_means,2.313822090625763,20,2.8121721137418785,2.1253533363342285
73,token_weighted,2.230256497859955,20,2.283740035858173,1.9707428216934204
74,mean_of_means,2.171570658683777,20,2.3084991888495274,2.069427728652954
74,token_weighted,1.9038711786270142,20,1.9571630489797796,1.9744815826416016
75,mean_of_means,2.399804711341858,20,2.582799349158101,1.967591404914856
75,token_weighted,2.061320424079895,20,1.9068686238649073,1.9558957815170288
76,mean_of_means,2.465663194656372,20,2.4461653851370038,1.8239377737045288
76,token_weighted,2.499870181083679,20,1.9145918686728207,1.8655520677566528
77,mean_of_means,2.0440133213996887,20,2.0052774824922506,1.7468584775924683
77,token_weighted,2.0466246604919434,20,1.932102561660938,1.8882297277450562
78,mean_of_means,2.4689494371414185,20,2.4873711799803404,1.95097815990448
78,token_weighted,1.9397552013397217,20,1.9907836286310472,2.005648374557495
79,mean_of_means,2.112057089805603,20,2.3598368919198616,1.9893697500228882
79,token_weighted,1.9031036496162415,20,2.0512587517053524,2.098803758621216
80,mean_of_means,1.8528754115104675,20,1.9261663745592426,2.074552297592163
80,token_weighted,1.8605498671531677,20,1.9426890250561009,2.130951166152954
