step,layer,update_norm,weight_norm_before,update_to_weight_ratio,lr_multiplier,lr
1,token_embedding.weight,0.012217925861477852,85.255615234375,0.00014330933895544105,0.16666666666666666,0.00016666666666666666
1,position_embedding.weight,0.01508359331637621,90.11225891113281,0.00016738669631233223,0.16666666666666666,0.00016666666666666666
1,blocks.0.ln1.weight,0.0026664023753255606,16.0,0.00016665014845783713,0.16666666666666666,0.00016666666666666666
1,blocks.0.ln1.bias,0.0026664533652365208,0.0,2666453365.236521,0.16666666666666666,0.00016666666666666666
1,blocks.0.attn.qkv.weight,0.07388237863779068,16.00562286376953,0.004616026459365531,0.16666666666666666,0.00016666666666666666
1,blocks.0.attn.proj.weight,0.04266154393553734,9.22057819366455,0.0046267753539409725,0.16666666666666666,0.00016666666666666666
1,blocks.0.ln2.weight,0.002669235458597541,16.0,0.0001668272161623359,0.16666666666666666,0.00016666666666666666
1,blocks.0.ln2.bias,0.00266633671708405,0.0,2666336717.08405,0.16666666666666666,0.00016666666666666666
1,blocks.0.mlp.fc.weight,0.08532852679491043,18.488391876220703,0.004615248712066364,0.16666666666666666,0.00016666666666666666
1,blocks.0.mlp.proj.weight,0.08534285426139832,9.234878540039062,0.009241361853474695,0.16666666666666666,0.00016666666666666666
1,blocks.1.ln1.weight,0.002662472892552614,16.0,0.000166404555784528,0.16666666666666666,0.00016666666666666666
1,blocks.1.ln1.bias,0.002666589105501771,0.0,2666589105.501771,0.16666666666666666,0.00016666666666666666
1,blocks.1.attn.qkv.weight,0.07388363033533096,15.97963809967041,0.004623610990091837,0.16666666666666666,0.00016666666666666666
1,blocks.1.attn.proj.weight,0.04266166314482689,9.248744010925293,0.004612698015474015,0.16666666666666666,0.00016666666666666666
1,blocks.1.ln2.weight,0.0026686254423111677,16.0,0.00016678909014443757,0.16666666666666666,0.00016666666666666666
1,blocks.1.ln2.bias,0.0026665744371712208,0.0,2666574437.171221,0.16666666666666666,0.00016666666666666666
1,blocks.1.mlp.fc.weight,0.08532816171646118,18.457853317260742,0.004622864872193046,0.16666666666666666,0.00016666666666666666
1,blocks.1.mlp.proj.weight,0.08534280955791473,9.234121322631836,0.00924211482350134,0.16666666666666666,0.00016666666666666666
1,final_norm.weight,0.0026709542144089937,16.0,0.0001669346384005517,0.16666666666666666,0.00016666666666666666
1,final_norm.bias,0.00266664894297719,0.0,2666648942.97719,0.16666666666666666,0.00016666666666666666
1,lm_head.weight,0.014110718853771687,3.034693717956543,0.004649800001322276,0.16666666666666666,0.00016666666666666666
2,token_embedding.weight,0.020494570955634117,85.25556945800781,0.00024038981952643424,0.3333333333333333,0.0003333333333333333
2,position_embedding.weight,0.02177528478205204,90.1120834350586,0.0002416466688148951,0.3333333333333333,0.0003333333333333333
2,blocks.0.ln1.weight,0.003706269431859255,15.999970436096191,0.00023164226750679612,0.3333333333333333,0.0003333333333333333
2,blocks.0.ln1.bias,0.004110734909772873,0.0026664533652365208,1.5416489040552157,0.3333333333333333,0.0003333333333333333
2,blocks.0.attn.qkv.weight,0.10496997833251953,16.00602149963379,0.006558155525088771,0.3333333333333333,0.0003333333333333333
2,blocks.0.attn.proj.weight,0.061622023582458496,9.220620155334473,0.006683067141292137,0.3333333333333333,0.0003333333333333333
2,blocks.0.ln2.weight,0.003673429600894451,15.999701499938965,0.00022959363341298804,0.3333333333333333,0.0003333333333333333
2,blocks.0.ln2.bias,0.004128084052354097,0.00266633671708405,1.5482230823871395,0.3333333333333333,0.0003333333333333333
2,blocks.0.mlp.fc.weight,0.12151914089918137,18.488245010375977,0.006572778586121928,0.3333333333333333,0.0003333333333333333
2,blocks.0.mlp.proj.weight,0.12345749139785767,9.2351713180542,0.01336818637641214,0.3333333333333333,0.0003333333333333333
2,blocks.1.ln1.weight,0.003774590091779828,16.0003662109375,0.00023590648126537038,0.3333333333333333,0.0003333333333333333
2,blocks.1.ln1.bias,0.004060607403516769,0.002666589105501771,1.5227720662384971,0.3333333333333333,0.0003333333333333333
2,blocks.1.attn.qkv.weight,0.10528412461280823,15.98008918762207,0.006588456633543265,0.3333333333333333,0.0003333333333333333
2,blocks.1.attn.proj.weight,0.06181061640381813,9.248806953430176,0.006683090772144106,0.3333333333333333,0.0003333333333333333
