width,lr,step_200_loss,schedule
256,0.0001,1.7406878471374512,cosine
256,0.0003,0.954630121588707,cosine
256,0.001,0.6355712115764618,cosine
256,0.003,1.081179529428482,cosine
512,0.0001,1.1312984228134155,cosine
512,0.0003,0.2306529749184847,cosine
512,0.001,0.9606318101286888,cosine
512,0.003,1.4785641133785248,cosine
1024,0.0001,0.2326398715376854,cosine
1024,0.0003,0.30170123651623726,cosine
1024,0.001,1.1612174361944199,cosine
1024,0.003,2.217652142047882,cosine
1024,1e-05,1.9314282536506653,cosine
1024,3e-05,1.2671226561069489,cosine
