step,train_loss,probe_loss,curve_loss,lr,lr_multiplier,schedule,width,seed,base_lr
111,0.39907771348953247,,0.39907771348953247,0.0007452476826029011,0.7452476826029011,cosine,256,10,0.001
112,0.7456245422363281,,0.7456245422363281,0.0007409042550545667,0.7409042550545667,cosine,256,10,0.001
113,0.7198989987373352,,0.7198989987373352,0.000736539029510633,0.736539029510633,cosine,256,10,0.001
114,0.5113251805305481,,0.5113251805305481,0.0007321525044050772,0.7321525044050772,cosine,256,10,0.001
115,0.4030528664588928,,0.4030528664588928,0.0007277451806039224,0.7277451806039223,cosine,256,10,0.001
116,0.9450355172157288,,0.9450355172157288,0.0007233175613480459,0.7233175613480458,cosine,256,10,0.001
117,0.5832244157791138,,0.5832244157791138,0.0007188701521957184,0.7188701521957184,cosine,256,10,0.001
118,0.5758919715881348,,0.5758919715881348,0.0007144034609648779,0.7144034609648778,cosine,256,10,0.001
119,0.39383065700531006,,0.39383065700531006,0.000709917997675145,0.709917997675145,cosine,256,10,0.001
120,0.5550132393836975,1.001747503876686,1.001747503876686,0.0007054142744895884,0.7054142744895884,cosine,256,10,0.001
121,0.8120458126068115,,0.8120458126068115,0.000700892805656244,0.700892805656244,cosine,256,10,0.001
122,0.5010572075843811,,0.5010572075843811,0.0006963541074493962,0.6963541074493962,cosine,256,10,0.001
123,0.6313477754592896,,0.6313477754592896,0.0006917986981106295,0.6917986981106294,cosine,256,10,0.001
124,0.5595006346702576,,0.5595006346702576,0.0006872270977896524,0.6872270977896523,cosine,256,10,0.001
125,0.4650737941265106,,0.4650737941265106,0.000682639828484907,0.6826398284849069,cosine,256,10,0.001
126,0.3193715512752533,,0.3193715512752533,0.0006780374139839646,0.6780374139839646,cosine,256,10,0.001
127,0.631702184677124,,0.631702184677124,0.0006734203798037187,0.6734203798037187,cosine,256,10,0.001
128,0.923374354839325,,0.923374354839325,0.0006687892531303794,0.6687892531303794,cosine,256,10,0.001
129,0.410931795835495,,0.410931795835495,0.0006641445627592783,0.6641445627592782,cosine,256,10,0.001
130,0.49986952543258667,0.9593311250209808,0.9593311250209808,0.000659486839034489,0.6594868390344889,cosine,256,10,0.001
131,0.9037280082702637,,0.9037280082702637,0.0006548166137882704,0.6548166137882704,cosine,256,10,0.001
132,0.8023288249969482,,0.8023288249969482,0.0006501344202803415,0.6501344202803414,cosine,256,10,0.001
133,0.56365966796875,,0.56365966796875,0.0006454407931369917,0.6454407931369917,cosine,256,10,0.001
134,0.6228621006011963,,0.6228621006011963,0.000640736268290035,0.6407362682900349,cosine,256,10,0.001
135,0.6931679248809814,,0.6931679248809814,0.0006360213829156176,0.6360213829156176,cosine,256,10,0.001
