stage,parameters,world_size,parameter_bytes_per_rank,gradient_bytes_per_rank,master_weight_bytes_per_rank,optimizer_bytes_per_rank,activation_bytes_per_rank,temporary_bytes_per_rank,model_state_bytes_per_rank,peak_bytes_per_rank,total_cluster_state_bytes,communication_parameter_bytes,communication_gradient_bytes,communication_parameter_all_gather_bytes,communication_gradient_collective_bytes,communication_total_bytes_per_rank,communication_estimated_ms,estimated_forward_backward_flops_cluster,estimated_forward_backward_flops_per_rank_ideal,estimated_compute_ms_at_configured_tflops,estimated_step_ms
zero0,132160,32,264320,264320,528640,1057280,2097152.0,0.0,2114560,4211712.0,67665920,264320,264320,0.0,512120.0,512120.0,0.10242399999999999,100663296,3145728.0,0.100663296,0.20308729599999997
zero1,132160,32,264320,264320,16520.0,33040.0,2097152.0,0.0,578200.0,2675352.0,18502400.0,264320,264320,0.0,512120.0,512120.0,0.10242399999999999,100663296,3145728.0,0.100663296,0.20308729599999997
zero2,132160,32,264320,8260.0,16520.0,33040.0,2097152.0,0.0,322140.0,2419292.0,10308480.0,264320,264320,0.0,512120.0,512120.0,0.10242399999999999,100663296,3145728.0,0.100663296,0.20308729599999997
zero3,132160,32,8260.0,8260.0,16520.0,33040.0,2097152.0,8260.0,66080.0,2171492.0,2114560.0,264320,264320,512120.0,512120.0,1024240.0,0.20484799999999997,100663296,3145728.0,0.100663296,0.305511296
